,draw,location_id,value,location_name
1000,draw_0,214,0.087482862,Nigeria
1001,draw_1,214,0.09519472,Nigeria
1002,draw_2,214,0.142369029,Nigeria
1003,draw_3,214,0.146840875,Nigeria
1004,draw_4,214,0.120358137,Nigeria
1005,draw_5,214,0.061150959,Nigeria
1006,draw_6,214,0.097290036,Nigeria
1007,draw_7,214,0.093156173,Nigeria
1008,draw_8,214,0.15283198,Nigeria
1009,draw_9,214,0.129819401,Nigeria
1010,draw_10,214,0.080655389,Nigeria
1011,draw_11,214,0.101637415,Nigeria
1012,draw_12,214,0.121272434,Nigeria
1013,draw_13,214,0.075984222,Nigeria
1014,draw_14,214,0.127737147,Nigeria
1015,draw_15,214,0.138286931,Nigeria
1016,draw_16,214,0.082258756,Nigeria
1017,draw_17,214,0.20492936,Nigeria
1018,draw_18,214,0.077447687,Nigeria
1019,draw_19,214,0.094158645,Nigeria
1020,draw_20,214,0.139862632,Nigeria
1021,draw_21,214,0.152202579,Nigeria
1022,draw_22,214,0.115475487,Nigeria
1023,draw_23,214,0.074614689,Nigeria
1024,draw_24,214,0.116972596,Nigeria
1025,draw_25,214,0.117256371,Nigeria
1026,draw_26,214,0.099558259,Nigeria
1027,draw_27,214,0.156077534,Nigeria
1028,draw_28,214,0.094800001,Nigeria
1029,draw_29,214,0.146541017,Nigeria
1030,draw_30,214,0.092545271,Nigeria
1031,draw_31,214,0.073504166,Nigeria
1032,draw_32,214,0.098102257,Nigeria
1033,draw_33,214,0.158441314,Nigeria
1034,draw_34,214,0.121837572,Nigeria
1035,draw_35,214,0.143671617,Nigeria
1036,draw_36,214,0.062621976,Nigeria
1037,draw_37,214,0.092905263,Nigeria
1038,draw_38,214,0.096460957,Nigeria
1039,draw_39,214,0.102070162,Nigeria
1040,draw_40,214,0.104953902,Nigeria
1041,draw_41,214,0.111024865,Nigeria
1042,draw_42,214,0.132700416,Nigeria
1043,draw_43,214,0.158522334,Nigeria
1044,draw_44,214,0.116088503,Nigeria
1045,draw_45,214,0.134379313,Nigeria
1046,draw_46,214,0.178171325,Nigeria
1047,draw_47,214,0.123807981,Nigeria
1048,draw_48,214,0.133259386,Nigeria
1049,draw_49,214,0.100527719,Nigeria
1050,draw_50,214,0.13433024,Nigeria
1051,draw_51,214,0.136788074,Nigeria
1052,draw_52,214,0.10007969,Nigeria
1053,draw_53,214,0.118420404,Nigeria
1054,draw_54,214,0.087822934,Nigeria
1055,draw_55,214,0.135141831,Nigeria
1056,draw_56,214,0.12064341,Nigeria
1057,draw_57,214,0.083943753,Nigeria
1058,draw_58,214,0.11025287,Nigeria
1059,draw_59,214,0.123006599,Nigeria
1060,draw_60,214,0.115713713,Nigeria
1061,draw_61,214,0.134840141,Nigeria
1062,draw_62,214,0.097844812,Nigeria
1063,draw_63,214,0.128203796,Nigeria
1064,draw_64,214,0.116718466,Nigeria
1065,draw_65,214,0.036334119,Nigeria
1066,draw_66,214,0.081688051,Nigeria
1067,draw_67,214,0.077949605,Nigeria
1068,draw_68,214,0.106447196,Nigeria
1069,draw_69,214,0.140010788,Nigeria
1070,draw_70,214,0.094829169,Nigeria
1071,draw_71,214,0.112027898,Nigeria
1072,draw_72,214,0.116656919,Nigeria
1073,draw_73,214,0.133017763,Nigeria
1074,draw_74,214,0.127162817,Nigeria
1075,draw_75,214,0.089621948,Nigeria
1076,draw_76,214,0.191368757,Nigeria
1077,draw_77,214,0.121583069,Nigeria
1078,draw_78,214,0.078145385,Nigeria
1079,draw_79,214,0.099426197,Nigeria
1080,draw_80,214,0.156020736,Nigeria
1081,draw_81,214,0.098851416,Nigeria
1082,draw_82,214,0.102263142,Nigeria
1083,draw_83,214,0.076452013,Nigeria
1084,draw_84,214,0.10826171,Nigeria
1085,draw_85,214,0.131635019,Nigeria
1086,draw_86,214,0.149877804,Nigeria
1087,draw_87,214,0.085373226,Nigeria
1088,draw_88,214,0.063724406,Nigeria
1089,draw_89,214,0.127015399,Nigeria
1090,draw_90,214,0.06732328,Nigeria
1091,draw_91,214,0.154153036,Nigeria
1092,draw_92,214,0.10848887,Nigeria
1093,draw_93,214,0.062351353,Nigeria
1094,draw_94,214,0.13826224,Nigeria
1095,draw_95,214,0.103960513,Nigeria
