value,draw
-0.1564210585361716,draw_0
-0.4098345334419889,draw_1
-0.0286058241569833,draw_2
-0.3431857462492152,draw_3
-0.7397999354545047,draw_4
-0.2142556102006828,draw_5
-0.3766625583395419,draw_6
-0.2439918010720385,draw_7
-0.6654645504905662,draw_8
-0.6740263217202882,draw_9
-0.4704405844834337,draw_10
-0.1396875746480537,draw_11
-0.4157939571093026,draw_12
-0.7959997596500918,draw_13
-0.3312411527052287,draw_14
-0.5789650678383571,draw_15
-0.6223687445992685,draw_16
-0.5419394589447075,draw_17
-0.6682886403256018,draw_18
-0.50775629164093,draw_19
-0.7019154432617538,draw_20
-0.4728224751811409,draw_21
-0.5588216440512679,draw_22
-0.8561799084670212,draw_23
-0.5301327739134154,draw_24
-0.126512358149395,draw_25
-0.3568921553373664,draw_26
-0.7132846496355614,draw_27
0.1703165431375506,draw_28
-0.1958998802102809,draw_29
-0.2668411048457867,draw_30
-0.3110717982509731,draw_31
-0.752863143707519,draw_32
-0.3868238970956847,draw_33
-0.5800090100188838,draw_34
-0.2669786468391277,draw_35
-0.2741670234775645,draw_36
-0.3145513340131274,draw_37
-0.5112740471881426,draw_38
-0.4144666022323529,draw_39
-0.4142088083629262,draw_40
-0.2876517148115857,draw_41
-0.5817973090941196,draw_42
-0.2187759146192075,draw_43
-0.4891578368762931,draw_44
-0.9552552393992256,draw_45
-0.4219336147580124,draw_46
-0.5284270622394781,draw_47
-0.6254230063010273,draw_48
-0.3783990877024121,draw_49
-0.3593792210484095,draw_50
-0.6202393106234126,draw_51
-0.5188665039567826,draw_52
0.0283174462710486,draw_53
-0.3169587660282958,draw_54
-0.5273077029724477,draw_55
-0.5317202114683972,draw_56
-0.6460353212339387,draw_57
-0.1052058253330381,draw_58
-0.3185648353673556,draw_59
0.0598487712990395,draw_60
-0.4721096295981988,draw_61
-0.4060888392937944,draw_62
-0.3633625196170348,draw_63
-0.3930850442506047,draw_64
-0.4296726131018087,draw_65
-0.3849898675611626,draw_66
-0.2985660708835888,draw_67
-0.6459780931188915,draw_68
-0.1635043163687283,draw_69
-0.3355208834881765,draw_70
-0.5884345284175982,draw_71
-0.3788297177351509,draw_72
-0.1273912479615957,draw_73
-0.2509595269170226,draw_74
-0.3360812994076704,draw_75
-0.4638016748827326,draw_76
-0.2837052267877047,draw_77
-0.2430090542352238,draw_78
-0.3168041726740006,draw_79
-0.0585793857699338,draw_80
-0.357296243214369,draw_81
-0.61036384249112,draw_82
-0.3517392786925375,draw_83
-0.316827205499294,draw_84
-0.7152675252833518,draw_85
-0.3314859315068605,draw_86
-0.0739592121147536,draw_87
-0.8208405441300045,draw_88
-0.5271235349659324,draw_89
-0.8570471964603917,draw_90
-0.8277772860242538,draw_91
-0.4335306293706419,draw_92
-0.4032412348835908,draw_93
-0.3596515361395251,draw_94
-0.6864024783781136,draw_95
-0.4782765979738259,draw_96
-0.5094169869738965,draw_97
-0.5594813210041817,draw_98
-0.091708465107203,draw_99
-0.5888735259783248,draw_100
-0.6485447612577855,draw_101
0.0202721675498486,draw_102
-0.5521247637244723,draw_103
-0.4740952226718431,draw_104
-0.5393144507276344,draw_105
-0.4267049548062651,draw_106
-0.2640050531404372,draw_107
-0.4991961525604976,draw_108
-0.5996973105983129,draw_109
-0.7448523903203637,draw_110
-0.4817623135519563,draw_111
-0.5385331286534542,draw_112
-0.647084729436107,draw_113
-0.2147038149852117,draw_114
-0.5695546790320491,draw_115
-0.3895844573039492,draw_116
-0.1507946834458857,draw_117
-0.2731250695742517,draw_118
-0.6460404587439068,draw_119
-0.1392006695917289,draw_120
-0.5164340773430841,draw_121
-0.4670066674594341,draw_122
