value,draw
0.5826882792145316,draw_0
0.6461894760847552,draw_1
0.6394310949211809,draw_2
0.4455941630488122,draw_3
0.2871427713106391,draw_4
0.5156682192766124,draw_5
0.6374759695081478,draw_6
0.7071682663957467,draw_7
0.9011875979399616,draw_8
0.7632284784552141,draw_9
0.7363088480283846,draw_10
0.7482687936456177,draw_11
0.5770827203254717,draw_12
0.7714353411212276,draw_13
0.9389712292956196,draw_14
0.8129486592008905,draw_15
0.6522737175754947,draw_16
0.450715574833928,draw_17
0.8109503361536821,draw_18
0.4854454989606443,draw_19
1.0798145413896174,draw_20
0.7583411861070398,draw_21
0.5956404951776494,draw_22
0.3077135599629143,draw_23
0.597806171835685,draw_24
0.206677893175101,draw_25
0.9429398927855313,draw_26
0.6482155619460165,draw_27
0.6785032199845481,draw_28
0.5704579778297717,draw_29
0.4460502385989103,draw_30
0.3012867340046943,draw_31
0.7882201251941059,draw_32
0.8492095905353204,draw_33
0.4964430635241284,draw_34
0.9377417674942304,draw_35
0.4535869591581177,draw_36
0.3096437342990092,draw_37
0.6058521709173136,draw_38
0.5353692358126874,draw_39
0.3844318833373134,draw_40
0.9015548374292816,draw_41
0.7705512657672239,draw_42
0.824874985848949,draw_43
0.4065349710754525,draw_44
0.5425444237650368,draw_45
0.6779693067656494,draw_46
0.3631334005164636,draw_47
0.6264042085884554,draw_48
0.6382496345174737,draw_49
0.4584451583266866,draw_50
0.6581103762775448,draw_51
0.172086921828722,draw_52
0.1979573781023287,draw_53
0.3336438021212149,draw_54
0.6280433396268661,draw_55
0.2499151173951011,draw_56
0.5450351345550629,draw_57
0.4989057167121117,draw_58
0.4993530882784665,draw_59
0.716865788793186,draw_60
0.7956004106141552,draw_61
0.4214510076476286,draw_62
0.2284998437073101,draw_63
0.7825559562892255,draw_64
0.6022176580292935,draw_65
0.9994001949528994,draw_66
0.5959833032242329,draw_67
-0.0557258596575265,draw_68
0.957098108553187,draw_69
0.7644963305096303,draw_70
0.5556279130992481,draw_71
0.819229100973639,draw_72
0.5137864972534856,draw_73
0.1937727722893497,draw_74
0.2626025755985866,draw_75
0.7113957505226438,draw_76
0.5775394145191771,draw_77
0.8815038280641593,draw_78
0.8319169617204413,draw_79
0.7881910530587857,draw_80
0.9042655140348232,draw_81
0.7581690554439718,draw_82
0.5002776511238949,draw_83
0.3414949775753972,draw_84
