value,draw
0.59661296,draw_0
0.653662577,draw_1
0.632153597,draw_2
0.462328189,draw_3
0.297264089,draw_4
0.498409866,draw_5
0.608343663,draw_6
0.748586309,draw_7
0.948936649,draw_8
0.723667079,draw_9
0.747219753,draw_10
0.758101207,draw_11
0.594333999,draw_12
0.785444742,draw_13
0.95579454,draw_14
0.849925015,draw_15
0.633768064,draw_16
0.454748108,draw_17
0.789451317,draw_18
0.497315856,draw_19
1.122538547,draw_20
0.793157311,draw_21
0.607002336,draw_22
0.31495934,draw_23
0.614220018,draw_24
0.206933835,draw_25
0.945110395,draw_26
0.664973432,draw_27
0.715775763,draw_28
0.577052836,draw_29
0.439031725,draw_30
0.303957792,draw_31
0.814275166,draw_32
0.85551528,draw_33
0.480599079,draw_34
0.947480905,draw_35
0.445887995,draw_36
0.31186379,draw_37
0.606466833,draw_38
0.529036731,draw_39
0.383925439,draw_40
0.901358276,draw_41
0.796053077,draw_42
0.820125943,draw_43
0.406301913,draw_44
0.559017459,draw_45
0.704424046,draw_46
0.36181081,draw_47
0.625540856,draw_48
0.633918325,draw_49
0.461564728,draw_50
0.659667718,draw_51
0.177544053,draw_52
0.203684994,draw_53
0.347796986,draw_54
0.619367167,draw_55
0.254419809,draw_56
0.547434703,draw_57
0.507367116,draw_58
0.497708414,draw_59
0.740686695,draw_60
0.789551873,draw_61
0.425819518,draw_62
0.233539058,draw_63
0.784437782,draw_64
0.611701667,draw_65
0.987922941,draw_66
0.608137373,draw_67
-0.053336026,draw_68
0.942321207,draw_69
0.762739444,draw_70
0.568217312,draw_71
0.806189627,draw_72
0.52266618,draw_73
0.202594351,draw_74
0.265349406,draw_75
0.73931053,draw_76
0.583306483,draw_77
0.849286309,draw_78
0.818282537,draw_79
0.818762949,draw_80
0.919043428,draw_81
0.754714953,draw_82
0.496176042,draw_83
0.354238885,draw_84
0.642245274,draw_85
0.552424018,draw_86
0.485306281,draw_87
0.803325991,draw_88
0.674498603,draw_89
0.768070174,draw_90
0.806005114,draw_91
0.348111403,draw_92
1.102240744,draw_93
0.561328891,draw_94
0.820489967,draw_95
0.575812896,draw_96
0.270112975,draw_97
0.668202651,draw_98
0.761164831,draw_99
0.686432815,draw_100
0.435495974,draw_101
0.734866414,draw_102
0.933339656,draw_103
0.444925806,draw_104
0.692744157,draw_105
0.608226436,draw_106
0.257426103,draw_107
0.864404498,draw_108
0.621525122,draw_109
0.443847855,draw_110
0.909576376,draw_111
0.4671868,draw_112
0.659345605,draw_113
0.566861106,draw_114
0.430615234,draw_115
1.035177954,draw_116
0.423677825,draw_117
0.508224081,draw_118
0.554982512,draw_119
0.695599389,draw_120
0.691730226,draw_121
0.807505935,draw_122
0.3653885,draw_123
0.399513264,draw_124
0.480490983,draw_125
0.720867174,draw_126
0.731282337,draw_127
0.302859357,draw_128
0.781442738,draw_129
0.613572816,draw_130
0.437675494,draw_131
0.549899807,draw_132
0.468993339,draw_133
0.842729258,draw_134
0.691955763,draw_135
1.036076219,draw_136
0.624646616,draw_137
0.214559315,draw_138
0.746405754,draw_139
0.640711727,draw_140
0.618347394,draw_141
0.790213068,draw_142
0.654004929,draw_143
0.576541754,draw_144
0.490787292,draw_145
0.622235122,draw_146
0.286641896,draw_147
0.472812767,draw_148
0.286790229,draw_149
0.269755293,draw_150
0.638966476,draw_151
0.623362963,draw_152
0.654833673,draw_153
0.496908739,draw_154
0.908098847,draw_155
0.378651489,draw_156
0.93375675,draw_157
0.68766505,draw_158
0.558294469,draw_159
0.455045849,draw_160
0.693577244,draw_161
0.496663842,draw_162
0.726252588,draw_163
0.637431773,draw_164
0.484302538,draw_165
0.33611723,draw_166
0.586181192,draw_167
0.746521666,draw_168
0.684491985,draw_169
0.652464297,draw_170
0.587234373,draw_171
0.591016012,draw_172
0.546896263,draw_173
0.438434255,draw_174
0.834292105,draw_175
0.610352788,draw_176
0.525242407,draw_177
0.748461818,draw_178
0.928128032,draw_179
0.771948463,draw_180
0.520841536,draw_181
0.695932066,draw_182
0.486751655,draw_183
0.765854865,draw_184
0.547114051,draw_185
0.527746806,draw_186
0.364267211,draw_187
0.714301999,draw_188
0.467351531,draw_189
0.569743862,draw_190
0.532457518,draw_191
0.663335957,draw_192
0.418921132,draw_193
0.501221368,draw_194
0.708613813,draw_195
0.63632743,draw_196
0.639760946,draw_197
0.908668993,draw_198
0.436265715,draw_199
0.564378399,draw_200
0.711205614,draw_201
0.375988936,draw_202
0.669115663,draw_203
0.797894538,draw_204
0.597152507,draw_205
0.756193976,draw_206
0.454293277,draw_207
1.045255385,draw_208
0.402377347,draw_209
0.858048818,draw_210
0.706119014,draw_211
0.667936703,draw_212
0.624749767,draw_213
0.84569218,draw_214
0.466612858,draw_215
0.514336796,draw_216
0.617996718,draw_217
0.896885962,draw_218
0.743630874,draw_219
0.640382484,draw_220
0.803028302,draw_221
0.725176093,draw_222
0.620280935,draw_223
0.649794304,draw_224
0.723776288,draw_225
0.953736745,draw_226
0.249565267,draw_227
0.431976021,draw_228
0.636060185,draw_229
0.393036269,draw_230
0.407231953,draw_231
0.469252441,draw_232
0.660632538,draw_233
0.746028414,draw_234
0.486439851,draw_235
0.607889048,draw_236
0.591202803,draw_237
0.710717399,draw_238
0.522481835,draw_239
0.646618741,draw_240
0.688364144,draw_241
0.668801812,draw_242
0.32493895,draw_243
0.736800892,draw_244
0.481139584,draw_245
0.702936732,draw_246
0.798393628,draw_247
0.630602694,draw_248
0.747782866,draw_249
0.720982001,draw_250
0.757293545,draw_251
0.435013116,draw_252
0.533413475,draw_253
0.671203567,draw_254
0.717421752,draw_255
0.721503834,draw_256
0.479801586,draw_257
0.729299743,draw_258
0.553848906,draw_259
0.781881682,draw_260
0.713227536,draw_261
0.663760084,draw_262
0.367267991,draw_263
0.591792227,draw_264
0.415007177,draw_265
0.887835705,draw_266
0.361970389,draw_267
0.704425104,draw_268
0.555125832,draw_269
0.713949175,draw_270
0.561020088,draw_271
0.576815129,draw_272
0.357724912,draw_273
0.649984423,draw_274
0.788390735,draw_275
0.607502231,draw_276
0.737465119,draw_277
0.623207188,draw_278
0.439332731,draw_279
0.575807188,draw_280
0.39366768,draw_281
0.45255046,draw_282
0.95433035,draw_283
0.68046148,draw_284
0.598240053,draw_285
0.541284902,draw_286
0.438749214,draw_287
0.517264554,draw_288
0.997770927,draw_289
0.696059586,draw_290
0.718796233,draw_291
0.976245739,draw_292
0.815618958,draw_293
0.707153788,draw_294
0.394945157,draw_295
0.616816562,draw_296
0.612287666,draw_297
0.424542021,draw_298
0.752462618,draw_299
0.275199001,draw_300
0.481034787,draw_301
0.593954606,draw_302
0.307517048,draw_303
0.479064514,draw_304
0.857128932,draw_305
0.725711965,draw_306
0.829662405,draw_307
0.694834895,draw_308
0.414280413,draw_309
0.495086479,draw_310
0.605349767,draw_311
0.95881918,draw_312
0.853606398,draw_313
0.439221768,draw_314
0.567968249,draw_315
0.460960244,draw_316
0.581982176,draw_317
0.886827111,draw_318
0.447050948,draw_319
0.524212595,draw_320
0.677458333,draw_321
0.519441126,draw_322
0.606478689,draw_323
1.01057147,draw_324
0.449098625,draw_325
0.818151389,draw_326
0.500692993,draw_327
0.454613699,draw_328
0.520840286,draw_329
0.608583889,draw_330
0.728847175,draw_331
0.794288813,draw_332
0.656547614,draw_333
0.777020644,draw_334
1.03046721,draw_335
0.690609175,draw_336
0.548745486,draw_337
0.9262323,draw_338
0.702857987,draw_339
0.727271799,draw_340
0.268118031,draw_341
0.960815693,draw_342
1.095326178,draw_343
0.818258765,draw_344
0.780329179,draw_345
0.633773126,draw_346
0.563810446,draw_347
0.33032207,draw_348
0.487738589,draw_349
0.722115446,draw_350
0.529187022,draw_351
1.043242059,draw_352
0.646541558,draw_353
0.866687609,draw_354
0.937523285,draw_355
0.42501977,draw_356
0.585325068,draw_357
0.418286938,draw_358
0.534618392,draw_359
1.088308505,draw_360
0.670498961,draw_361
0.252970716,draw_362
0.540805786,draw_363
0.919213911,draw_364
0.784423818,draw_365
0.316192133,draw_366
0.428981646,draw_367
0.473462802,draw_368
0.63333936,draw_369
0.767358961,draw_370
0.724389163,draw_371
0.457959898,draw_372
0.429130723,draw_373
0.645070015,draw_374
0.526907531,draw_375
0.741179091,draw_376
0.792229538,draw_377
0.766133203,draw_378
0.495886215,draw_379
1.035700297,draw_380
0.631599554,draw_381
0.898085743,draw_382
0.362720374,draw_383
0.616796377,draw_384
0.708487711,draw_385
0.687170882,draw_386
0.642821323,draw_387
0.735523892,draw_388
0.610939742,draw_389
0.699897561,draw_390
0.553221044,draw_391
0.494155563,draw_392
0.635541665,draw_393
0.68462752,draw_394
0.296023478,draw_395
0.487637647,draw_396
0.323270118,draw_397
0.345634709,draw_398
0.657920761,draw_399
0.668910687,draw_400
0.526041408,draw_401
0.944717453,draw_402
0.597815995,draw_403
0.694241053,draw_404
0.362739516,draw_405
0.819694305,draw_406
0.596747179,draw_407
0.299525551,draw_408
0.870168986,draw_409
0.820993382,draw_410
0.816754847,draw_411
0.399004666,draw_412
0.522170909,draw_413
0.429844497,draw_414
0.458965546,draw_415
0.649220305,draw_416
0.775382966,draw_417
0.848792363,draw_418
