sex,age_start,age_end,year_start,year_end,cat1,cat2,cat3,cat4
Female,0.0,0.01917808,1990,1991,0.06800536000703136,0.11865976543442691,0.2009824874410063,0.6123523871175354
Female,0.0,0.01917808,1991,1992,0.06809045630161381,0.1187349038051053,0.2007541867208085,0.6124204531724724
Female,0.0,0.01917808,1992,1993,0.06816020631185578,0.11872502673674178,0.20057870181874224,0.6125360651326601
Female,0.0,0.01917808,1993,1994,0.0681844414406892,0.11864499736572572,0.20046616443897172,0.6127043967546133
Female,0.0,0.01917808,1994,1995,0.0681325032344944,0.11850828034430179,0.20042638870123883,0.612932827719965
Female,0.0,0.01917808,1995,1996,0.06797322584715032,0.1183269497660773,0.20046887764166732,0.613230946745105
Female,0.0,0.01917808,1996,1997,0.06774124474650191,0.11824163642802363,0.2007546494405763,0.6132624693848981
Female,0.0,0.01917808,1997,1998,0.06747785451642345,0.11814791153257632,0.20105009796713766,0.6133241359838626
Female,0.0,0.01917808,1998,1999,0.06717026820734871,0.11805576217939985,0.20135933665494396,0.6134146329583074
Female,0.0,0.01917808,1999,2000,0.06681603173889056,0.11797358859671125,0.20168272608766652,0.6135276535767317
Female,0.0,0.01917808,2000,2001,0.06642304865894494,0.11790821809965693,0.20201684457291963,0.6136518886684785
Female,0.0,0.01917808,2001,2002,0.06560547657967229,0.11764138425364537,0.20247198000699623,0.6142811591596861
Female,0.0,0.01917808,2002,2003,0.06475193021538855,0.11736971636274149,0.20303185414907057,0.6148464992727994
Female,0.0,0.01917808,2003,2004,0.06385039877051132,0.11707195518969454,0.20364953247012887,0.6154281135696653
Female,0.0,0.01917808,2004,2005,0.06289676672915918,0.11673786660657817,0.20429124448687372,0.616074122177389
Female,0.0,0.01917808,2005,2006,0.0618948481589533,0.11636824883180416,0.20493636057698805,0.6168005424322545
Female,0.0,0.01917808,2006,2007,0.06133108857835324,0.11622207476406816,0.20538883977264993,0.6170579968849286
Female,0.0,0.01917808,2007,2008,0.060652387021554184,0.11604182926609335,0.20594038038565515,0.6173654033266972
Female,0.0,0.01917808,2008,2009,0.0598945970960158,0.11583516812600625,0.2065270055298149,0.6177432292481632
Female,0.0,0.01917808,2009,2010,0.05910810618982288,0.1156116741567595,0.20708521520506046,0.6181950044483571
Female,0.0,0.01917808,2010,2011,0.058357907588997074,0.11538287400114508,0.2075519142162617,0.6187073041935962
Female,0.0,0.01917808,2011,2012,0.05772101350923055,0.11517174841990208,0.20797457713352904,0.6191326609373383
Female,0.0,0.01917808,2012,2013,0.057088369367275994,0.11492476337469995,0.2083531257298451,0.619633741528179
Female,0.0,0.01917808,2013,2014,0.05645346687095756,0.1146518472515197,0.20869744061498227,0.6201972452625405
Female,0.0,0.01917808,2014,2015,0.05582126237959431,0.11436656529333428,0.20901853351856695,0.6207936388085045
Female,0.0,0.01917808,2015,2016,0.05520814782264202,0.114086102678504,0.2093285575735369,0.621377191925317
Female,0.0,0.01917808,2016,2017,0.055060022823826806,0.11407784287425081,0.20965895075704474,0.6212031835448775
Female,0.0,0.01917808,2017,2018,0.05486748972435004,0.11403128339471773,0.21002425636981242,0.6210769705111199
Female,0.0,0.01917808,2018,2019,0.05498516458349299,0.11386098729440321,0.20981140139966878,0.621342446722435
Female,0.0,0.01917808,2019,2020,0.055065290292524785,0.11365496014876778,0.20965011738693629,0.6216296321717711
Female,0.01917808,0.07671233,1990,1991,0.06372557368535343,0.1154571126340623,0.1998619487013063,0.620955364979278
Female,0.01917808,0.07671233,1991,1992,0.06386443873881649,0.11521099064385645,0.19931361059071734,0.6216109600266096
Female,0.01917808,0.07671233,1992,1993,0.06397156088255894,0.11494584219077887,0.19882097990686604,0.6222616170197962
Female,0.01917808,0.07671233,1993,1994,0.06402006658194855,0.11465863683443356,0.19838053291201554,0.6229407636716023
Female,0.01917808,0.07671233,1994,1995,0.0639837753706945,0.11434841286907801,0.1979789230678992,0.6236888886923284
Female,0.01917808,0.07671233,1995,1996,0.0638371722004775,0.11401624159650875,0.19759295411732675,0.624553632085687
Female,0.01917808,0.07671233,1996,1997,0.06375705055134623,0.11390525907942473,0.1976214465294753,0.6247162438397537
Female,0.01917808,0.07671233,1997,1998,0.06365032603392838,0.1137716792192558,0.1976817364171715,0.6248962583296443
Female,0.01917808,0.07671233,1998,1999,0.06351768981227282,0.11361961748262758,0.19780233274368755,0.625060359961412
Female,0.01917808,0.07671233,1999,2000,0.06336314769966016,0.113457435600929,0.19799069057813398,0.625188726121277
Female,0.01917808,0.07671233,2000,2001,0.06319400578941492,0.11329773019838944,0.1982332407943544,0.6252750232178412
Female,0.01917808,0.07671233,2001,2002,0.06296837817396764,0.11328230280068544,0.1983864728786344,0.6253628461467126
Female,0.01917808,0.07671233,2002,2003,0.06270343956071894,0.11326252805404445,0.1986267360132974,0.6254072963719393
Female,0.01917808,0.07671233,2003,2004,0.06240303136423922,0.11323839474566914,0.19892107896528766,0.625437494924804
Female,0.01917808,0.07671233,2004,2005,0.062072498797723086,0.11320841892940073,0.19924301671826083,0.6254760655546153
Female,0.01917808,0.07671233,2005,2006,0.06171869274879216,0.11316964415504908,0.1995725379598836,0.6255391251362752
Female,0.01917808,0.07671233,2006,2007,0.061396547562016617,0.1132056816251936,0.20016414406411764,0.6252336267486721
Female,0.01917808,0.07671233,2007,2008,0.06096960570550145,0.11321728504320727,0.20085456413977198,0.6249585451115192
Female,0.01917808,0.07671233,2008,2009,0.06047893626531887,0.1132366398326694,0.20157997731081742,0.6247044465911944
Female,0.01917808,0.07671233,2009,2010,0.059963971131421205,0.11328080623585537,0.2022878451128685,0.6244673775198548
Female,0.01917808,0.07671233,2010,2011,0.05946251356320755,0.11335173089910038,0.20293688574829596,0.6242488697893961
Female,0.01917808,0.07671233,2011,2012,0.05881622193105423,0.11323175306871251,0.20353281045782856,0.6244192145424047
Female,0.01917808,0.07671233,2012,2013,0.05812456344328418,0.11303641018637403,0.20409198676258664,0.6247470396077551
Female,0.01917808,0.07671233,2013,2014,0.05740625558462569,0.11279125322650498,0.20463430447794748,0.6251681867109218
Female,0.01917808,0.07671233,2014,2015,0.05669041040501735,0.11252922484136396,0.20517263435555355,0.6256077303980652
Female,0.01917808,0.07671233,2015,2016,0.056016445168706144,0.11229061343764712,0.20571287931856902,0.6259800620750777
Female,0.01917808,0.07671233,2016,2017,0.05491796002934486,0.11191382717005528,0.20632046227929637,0.6268477505213035
Female,0.01917808,0.07671233,2017,2018,0.05378664042570773,0.11152848259637291,0.20692315480614082,0.6277617221717786
Female,0.01917808,0.07671233,2018,2019,0.05347788868437594,0.11153522729652304,0.20734023733798165,0.6276466466811194
Female,0.01917808,0.07671233,2019,2020,0.05322270992418168,0.1115000581374609,0.20768598934355376,0.6275912425948036
Female,0.07671233,1.0,1990,1991,0.06122054797359839,0.12140944197813634,0.21745600095477421,0.599914009093491
Female,0.07671233,1.0,1991,1992,0.06156166333812586,0.1216044520452451,0.21720861788928852,0.5996252667273405
Female,0.07671233,1.0,1992,1993,0.061872055811689274,0.12176368345195511,0.21698205823267927,0.5993822025036764
Female,0.07671233,1.0,1993,1994,0.06213525196016716,0.12188347433688804,0.21678429257269605,0.5991969811302488
Female,0.07671233,1.0,1994,1995,0.06233508025276399,0.1219642254264186,0.21662376813619502,0.5990769261846224
