,age_group_id,location_id,year_id,sex_id,population,run_id,percent_in_location,national_location_id,location,national_location
59,164,25329,2021,2,55800.1391262081,359,0.0137153806045186,214,Edo,Nigeria
60,164,25330,2021,1,25632.5435018424,359,0.0060101820848571,214,Ekiti,Nigeria
61,164,25330,2021,2,24162.3480484217,359,0.0059389780199903,214,Ekiti,Nigeria
62,164,25331,2021,1,67310.4052570668,359,0.0157825848133806,214,Enugu,Nigeria
63,164,25331,2021,2,63225.2568778919,359,0.0155404354805894,214,Enugu,Nigeria
64,164,25332,2021,1,105622.64913655,359,0.0247658354134858,214,FCT (Abuja),Nigeria
65,164,25332,2021,2,101207.951204344,359,0.0248763818999005,214,FCT (Abuja),Nigeria
66,164,25333,2021,1,76473.968593442,359,0.0179312082690973,214,Gombe,Nigeria
67,164,25333,2021,2,73235.4337240127,359,0.0180008842807717,214,Gombe,Nigeria
68,164,25334,2021,1,168724.140030002,359,0.0395615364358342,214,Imo,Nigeria
69,164,25334,2021,2,159787.421188393,359,0.0392749074058136,214,Imo,Nigeria
70,164,25335,2021,1,136609.299597236,359,0.0320314199410282,214,Jigawa,Nigeria
71,164,25335,2021,2,132095.425481916,359,0.0324683605627316,214,Jigawa,Nigeria
72,164,25336,2021,1,230927.101059045,359,0.0541465549680353,214,Kaduna,Nigeria
73,164,25336,2021,2,221148.433172744,359,0.0543571213003043,214,Kaduna,Nigeria
74,164,25337,2021,1,407140.28668317,359,0.0954640828707032,214,Kano,Nigeria
75,164,25337,2021,2,389074.012437428,359,0.095632345142312,214,Kano,Nigeria
76,164,25338,2021,1,250989.643887937,359,0.0588507130036286,214,Katsina,Nigeria
77,164,25338,2021,2,241642.114504549,359,0.059394360344058,214,Katsina,Nigeria
78,164,25339,2021,1,120692.71968786,359,0.0282993851776169,214,Kebbi,Nigeria
79,164,25339,2021,2,114757.368438374,359,0.0282067573657004,214,Kebbi,Nigeria
80,164,25340,2021,1,45781.1090043993,359,0.010734510258155,214,Kogi,Nigeria
81,164,25340,2021,2,42571.1310342168,359,0.0104637600199976,214,Kogi,Nigeria
82,164,25341,2021,1,51335.5300089204,359,0.0120368812698623,214,Kwara,Nigeria
83,164,25341,2021,2,48501.7384178151,359,0.0119214721109664,214,Kwara,Nigeria
84,164,25342,2021,1,74684.0229245894,359,0.0175115113556391,214,Lagos,Nigeria
85,164,25342,2021,2,70451.4493731909,359,0.0173165955752869,214,Lagos,Nigeria
86,164,25343,2021,1,111896.771987832,359,0.0262369582755715,214,Nasarawa,Nigeria
87,164,25343,2021,2,107252.119040727,359,0.026362006552665,214,Nasarawa,Nigeria
88,164,25344,2021,1,242789.468811805,359,0.0569279796887815,214,Niger,Nigeria
89,164,25344,2021,2,233653.596476725,359,0.0574308246444453,214,Niger,Nigeria
90,164,25345,2021,1,192416.64733581,359,0.0451168291809526,214,Ogun,Nigeria
91,164,25345,2021,2,184672.015873364,359,0.0453914098489636,214,Ogun,Nigeria
92,164,25346,2021,1,53709.5597261939,359,0.0125935310956843,214,Ondo,Nigeria
93,164,25346,2021,2,50445.3774926901,359,0.0123992083691043,214,Ondo,Nigeria
94,164,25347,2021,1,62148.83455445,359,0.014572327245131,214,Osun,Nigeria
95,164,25347,2021,2,59121.3807566596,359,0.0145317243225546,214,Osun,Nigeria
96,164,25348,2021,1,88846.7217744776,359,0.0208323054428395,214,Oyo,Nigeria
97,164,25348,2021,2,84609.8338418592,359,0.0207966519832769,214,Oyo,Nigeria
98,164,25349,2021,1,205233.249370939,359,0.0481219976666605,214,Plateau,Nigeria
99,164,25349,2021,2,197387.414772727,359,0.0485167879962939,214,Plateau,Nigeria
100,164,25350,2021,1,52042.6365660054,359,0.0122026798438966,214,Rivers,Nigeria
101,164,25350,2021,2,49436.473455583,359,0.0121512250651369,214,Rivers,Nigeria
102,164,25351,2021,1,183961.76321755,359,0.0431343730484405,214,Sokoto,Nigeria
103,164,25351,2021,2,175479.314967179,359,0.0431318923336638,214,Sokoto,Nigeria
104,164,25352,2021,1,172489.674988371,359,0.0404444589887626,214,Taraba,Nigeria
105,164,25352,2021,2,163119.076092427,359,0.0400938106517067,214,Taraba,Nigeria
106,164,25353,2021,1,98683.1952297621,359,0.0231387092741594,214,Yobe,Nigeria
107,164,25353,2021,2,93981.1211438414,359,0.0231000650950304,214,Yobe,Nigeria
108,164,25354,2021,1,97944.4739206105,359,0.0229654978416831,214,Zamfara,Nigeria
109,164,25354,2021,2,93388.014143295,359,0.0229542825149315,214,Zamfara,Nigeria
